freq1Segments,freq2Segments,freq3Segments,freq1to3Segments,dnsSegmentsCount,frequency
6,1,2,9,2,2
6,1,4,11,0,2
4,3,3,10,2,2
2,5,2,9,4,2
2,6,0,8,3,2
2,4,5,11,0,2
2,0,3,5,2,2
2,3,5,10,2,2
3,4,3,10,3,2
0,6,4,10,0,2
6,0,1,7,2,2
6,3,0,9,3,2
6,1,3,10,2,2
2,3,3,8,4,2
5,0,5,10,0,2
7,0,0,7,0,2
5,0,4,9,1,2
0,3,4,7,2,2
7,2,1,10,0,2
4,2,0,6,4,2
3,3,4,10,2,2
7,2,0,9,0,2
0,4,2,6,1,2
2,4,0,6,3,2
1,2,6,9,1,2
0,2,5,7,1,2
6,2,0,8,2,2
7,0,1,8,0,2
0,4,6,10,0,2
5,3,2,10,3,2
1,3,6,10,3,2
4,1,4,9,3,2
0,4,5,9,2,2
4,3,2,9,4,2
0,0,7,7,0,2
0,7,1,8,2,2
4,5,0,9,3,1
3,3,0,6,2,1
1,6,2,9,3,1
2,5,2,9,1,1
4,2,2,8,4,1
4,5,2,11,1,1
1,1,9,11,0,1
2,2,5,9,2,1
5,0,3,8,2,1
3,0,7,10,0,1
0,4,3,7,2,1
2,1,1,4,1,1
6,1,1,8,1,1
2,1,6,9,2,1
5,2,2,9,1,1
4,1,4,9,4,1
0,2,3,5,1,1
7,0,3,10,0,1
1,1,0,2,0,1
2,6,1,9,3,1
3,2,2,7,4,1
3,2,5,10,4,1
1,6,4,11,0,1
0,3,6,9,0,1
0,5,3,8,1,1
4,4,1,9,1,1
2,5,4,11,1,1
0,4,4,8,1,1
0,3,3,6,2,1
0,0,4,4,0,1
4,4,0,8,1,1
6,3,0,9,1,1
3,4,5,12,0,1
4,0,5,9,3,1
2,3,2,7,4,1
0,0,8,8,0,1
4,1,5,10,2,1
2,4,0,6,2,1
3,6,3,12,1,1
4,1,3,8,4,1
8,0,0,8,2,1
1,6,0,7,1,1
2,7,0,9,1,1
2,6,2,10,3,1
6,3,1,10,2,1
3,6,1,10,2,1
3,4,6,13,0,1
4,0,4,8,3,1
3,2,0,5,1,1
4,1,5,10,3,1
0,2,4,6,3,1
4,5,3,12,0,1
4,5,1,10,2,1
2,2,5,9,4,1
1,5,4,10,2,1
1,1,8,10,0,1
6,2,3,11,1,1
4,1,4,9,2,1
5,2,3,10,4,1
4,4,0,8,3,1
2,4,4,10,1,1
2,3,4,9,4,1
2,2,1,5,4,1
6,1,3,10,1,1
0,3,5,8,3,1
1,0,6,7,1,1
5,2,1,8,4,1
8,3,4,15,0,1
4,6,2,12,0,1
2,8,0,10,1,1
5,1,4,10,2,1
3,3,0,6,4,1
5,3,3,11,2,1
0,4,1,5,1,1
7,1,0,8,0,1
5,4,4,13,0,1
4,3,4,11,2,1
0,5,0,5,2,1
1,2,5,8,2,1
3,0,4,7,2,1
0,5,1,6,2,1
2,0,3,5,3,1
7,0,2,9,0,1
8,1,1,10,0,1
0,0,5,5,0,1
0,4,4,8,3,1
2,4,4,10,2,1
5,3,3,11,1,1
6,2,2,10,2,1
5,5,1,11,2,1
6,1,0,7,3,1
3,3,5,11,2,1
3,5,4,12,0,1
1,3,7,11,0,1
4,1,0,5,1,1
1,3,2,6,4,1
3,6,2,11,3,1
0,3,4,7,3,1
6,1,0,7,2,1
8,2,0,10,2,1
5,0,6,11,0,1
7,1,1,9,1,1
3,1,6,10,2,1
0,5,0,5,0,1
0,3,1,4,2,1
5,0,1,6,1,1
5,5,2,12,1,1
1,6,1,8,3,1
2,5,0,7,2,1
6,4,2,12,0,1
0,1,5,6,1,1
5,2,3,10,3,1
4,0,1,5,2,1
6,2,5,13,0,1
0,5,5,10,0,1
2,3,5,10,4,1
2,4,5,11,3,1
4,0,5,9,4,1
5,0,5,10,1,1
3,2,6,11,2,1
2,3,6,11,2,1
6,1,2,9,1,1
1,4,3,8,4,1
2,1,1,4,3,1
5,4,1,10,1,1
1,0,7,8,0,1
0,2,4,6,2,1
1,1,4,6,3,1
1,5,5,11,0,1
1,8,0,9,0,1
5,4,3,12,0,1
3,5,0,8,3,1
1,8,2,11,0,1
1,2,4,7,4,1
0,5,5,10,1,1
7,2,0,9,3,1
2,0,7,9,3,1
7,1,1,9,3,1
0,4,4,8,2,1
2,0,3,5,1,1
3,0,5,8,2,1
0,5,2,7,1,1
3,3,6,12,0,1
3,0,1,4,1,1
3,1,5,9,4,1
2,4,2,8,4,1
7,3,0,10,0,1
4,2,1,7,4,1
6,1,3,10,3,1
0,1,7,8,0,1
1,5,0,6,3,1
6,1,0,7,1,1
4,5,0,9,1,1
0,2,6,8,3,1
5,3,3,11,3,1
0,7,2,9,1,1
5,4,1,10,3,1
1,4,5,10,3,1
4,4,0,8,4,1
4,4,3,11,3,1
6,2,3,11,3,1
6,2,0,8,1,1
4,3,4,11,3,1
2,6,1,9,2,1
2,6,0,8,2,1
4,3,1,8,4,1
5,5,0,10,0,1
5,1,0,6,2,1
5,3,2,10,4,1
3,5,2,10,1,1
6,2,1,9,3,1
2,7,2,11,3,1
2,5,4,11,2,1
6,4,1,11,0,1
1,2,7,10,0,1
5,3,1,9,1,1
1,7,0,8,0,1
3,5,2,10,3,1
0,1,6,7,1,1
4,3,0,7,1,1
7,0,1,8,2,1
3,4,4,11,1,1
1,3,6,10,1,1
0,2,3,5,3,1
3,2,1,6,4,1
6,3,2,11,3,1
5,5,2,12,0,1
0,3,3,6,3,1
3,0,3,6,3,1
2,7,0,9,3,1
3,3,3,9,4,1
1,1,5,7,4,1
6,3,3,12,2,1
3,0,3,6,2,1
1,7,2,10,1,1
5,0,0,5,1,1
3,0,6,9,3,1
5,2,3,10,1,1
6,4,3,13,0,1
3,7,0,10,0,1
2,0,2,4,1,1
5,0,3,8,1,1
1,3,5,9,2,1
5,2,4,11,3,1
8,1,2,11,3,1
2,5,3,10,1,1
2,3,6,11,3,1
6,4,1,11,1,1
0,3,0,3,0,1
1,4,6,11,0,1
2,2,6,10,2,1
2,2,4,8,4,1
1,4,0,5,1,1
0,4,7,11,0,1
0,7,0,7,0,1
5,1,3,9,4,1
2,7,2,11,0,1
4,4,3,11,1,1
5,2,4,11,1,1
3,7,1,11,0,1
2,3,5,10,3,1
3,0,5,8,1,1
0,2,5,7,3,1
2,5,4,11,3,1
3,1,5,9,1,1
5,0,2,7,2,1
1,2,6,9,3,1
7,2,0,9,2,1
2,7,1,10,3,1
1,2,1,4,2,1
5,3,0,8,2,1
2,4,0,6,1,1
2,8,1,11,0,1
6,1,1,8,2,1
